"country";"actor_id";"actor_name";"mechanism_id";"mechanism_name";"relationship_type";"source_id";"citation";"legal_anchor_type";"anchor_strength";"manual_review_required";"notes"
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-001";"vote";"obligation";"MEX-LFRM";"MEX-LFRM 4";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-007";"recall";"reference";"MEX-LFRM";"MEX-LFRM 5";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-007";"recall";"reference";"MEX-LFRM";"MEX-LFRM 6";"statutory";"4";"false";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-007";"recall";"reference";"MEX-LFRM";"MEX-LFRM 6";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFRM";"MEX-LFRM 6";"statutory";"4";"false";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFRM";"MEX-LFRM 6";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-LFRM";"MEX-LFRM 6";"statutory";"4";"false";""
"Mexico";"MEX-ACT-002";"TEPJF";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-LFRM";"MEX-LFRM 6";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-013";"electoral_authority_internal_governance";"reference";"MEX-LFRM";"MEX-LFRM 11";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-003";"political_parties";"reference";"MEX-LFRM";"MEX-LFRM 14";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-003";"political_parties";"reference";"MEX-LFRM";"MEX-LFRM 14";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-007";"recall";"reference";"MEX-LFRM";"MEX-LFRM 14";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-010";"legislative_petition_or_participation";"reference";"MEX-LFRM";"MEX-LFRM 26";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-010";"legislative_petition_or_participation";"reference";"MEX-LFRM";"MEX-LFRM 26";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-001";"vote";"faculty";"MEX-LFRM";"MEX-LFRM 32";"statutory";"4";"true";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-010";"legislative_petition_or_participation";"faculty";"MEX-LFRM";"MEX-LFRM 32";"statutory";"4";"true";""
"Mexico";"MEX-ACT-003";"SCJN";"MEX-MECH-001";"vote";"reference";"MEX-LFRM";"MEX-LFRM 58";"statutory";"4";"false";""
"Mexico";"MEX-ACT-003";"SCJN";"MEX-MECH-007";"recall";"reference";"MEX-LFRM";"MEX-LFRM 58";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-007";"recall";"reference";"MEX-LFRM";"MEX-LFRM 58";"statutory";"4";"false";""
"Mexico";"MEX-ACT-003";"SCJN";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFRM";"MEX-LFRM 58";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFRM";"MEX-LFRM 58";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LFRM";"MEX-LFRM 58";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-006";"popular_consultation";"reference";"MEX-LGDE";"MEX-LGDE 3";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-009";"electoral_crimes";"reference";"MEX-LGDE";"MEX-LGDE 3";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-012";"administrative_responsibility";"reference";"MEX-LGDE";"MEX-LGDE 3";"statutory";"4";"false";""
