country;source_id;source_title;actor_id;actor_name;actor_type;mechanisms;relationship_types;process_stages;edge_count;highest_anchor_strength;manual_review_required;implication;notes
Costa Rica;CRC-LCPREF;CRC-LCPREF;Sala_Constitucional;Sala_Constitucional;Institutional;civil_registry_electoral_functions|vote|consultative_referendum_or_preliminary_consultation|referendum|citizen_initiative|constitutional_remedies|electoral_authority_internal_governance;faculty;Implementation;3;4;true;Actor Sala_Constitucional is mandated by this instrument.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|consultative_referendum_or_preliminary_consultation|referendum|citizen_initiative|legislative_petition_or_participation|constitutional_remedies|electoral_authority_internal_governance;faculty;Implementation;4;4;true;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|consultative_referendum_or_preliminary_consultation|referendum|citizen_initiative|constitutional_remedies|electoral_authority_internal_governance;faculty;Implementation;1;4;true;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;Registro_Civil;Registro_Civil;Institutional;civil_registry_electoral_functions|vote|consultative_referendum_or_preliminary_consultation|referendum|citizen_initiative|constitutional_remedies|electoral_authority_internal_governance;faculty;Implementation;1;4;true;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;vote|referendum|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;;Implementation;1;4;true;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-LCPREF;CRC-LCPREF;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;vote|referendum|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;;Implementation;1;4;true;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-REGREF;CRC-REGREF;Juntas_Electorales;Juntas_Electorales;Institutional;electoral_authority_internal_governance|civil_registry_electoral_functions|vote|referendum;faculty;Implementation;12;3;false;Actor Juntas_Electorales is mandated by this instrument.;
Costa Rica;CRC-REGREF;CRC-REGREF;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|referendum|electoral_remedies|legislative_petition_or_participation|transparency_and_accountability|electoral_authority_internal_governance;obligation|faculty;Implementation;16;3;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-REGREF;CRC-REGREF;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|referendum|electoral_remedies|legislative_petition_or_participation|electoral_authority_internal_governance;faculty;Implementation;7;3;false;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-REGREF;CRC-REGREF;Registro_Civil;Registro_Civil;Institutional;civil_registry_electoral_functions|vote|referendum|electoral_remedies|electoral_authority_internal_governance;faculty;Implementation;5;3;false;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-REGREF;CRC-REGREF;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;legislative_petition_or_participation|referendum;faculty;Implementation;1;3;false;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-REGREF;CRC-REGREF;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;electoral_authority_internal_governance|vote|referendum;;Implementation;1;3;false;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-REGIP;CRC-REGIP;Registro_Civil;Registro_Civil;Institutional;legislative_petition_or_participation|citizen_initiative|civil_registry_electoral_functions|vote;;Implementation;3;3;false;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-REGIP;CRC-REGIP;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;obligation;Implementation;2;3;false;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-REGIP;CRC-REGIP;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;civil_registry_electoral_functions|vote|citizen_initiative|legislative_petition_or_participation|electoral_authority_internal_governance;obligation;Implementation;4;3;false;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-REGIP;CRC-REGIP;TSE;TSE;Institutional;legislative_petition_or_participation|citizen_initiative|civil_registry_electoral_functions|electoral_authority_internal_governance;obligation;Implementation;3;3;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;Registro_Civil;Registro_Civil;Institutional;civil_registry_electoral_functions|electoral_authority_internal_governance;faculty;Implementation;7;1;true;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;electoral_authority_internal_governance|political_parties|referendum;;Implementation;1;1;true;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;Partidos_Politicos;Partidos_Politicos;Institutional;electoral_authority_internal_governance|political_parties|referendum;;Implementation;1;1;true;Actor Partidos_Politicos is mandated by this instrument.;
Costa Rica;CRC-RATSRE;CRC-RATSRE;TSE;TSE;Institutional;civil_registry_electoral_functions|referendum|electoral_remedies|political_parties|right_to_stand_for_election|electoral_authority_internal_governance;obligation|faculty;Implementation;78;1;true;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Sala_Constitucional;Sala_Constitucional;Institutional;civil_registry_electoral_functions|vote|referendum|consultative_referendum_or_preliminary_consultation|citizen_initiative|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;60;2;true;Actor Sala_Constitucional is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Juntas_Electorales;Juntas_Electorales;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|electoral_authority_internal_governance;faculty;Implementation;2;2;true;Actor Juntas_Electorales is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|referendum|consultative_referendum_or_preliminary_consultation|citizen_initiative|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;27;2;true;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|consultative_referendum_or_preliminary_consultation|referendum|citizen_initiative|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;27;2;true;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Registro_Civil;Registro_Civil;Institutional;civil_registry_electoral_functions|vote|referendum|consultative_referendum_or_preliminary_consultation|citizen_initiative|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;12;2;true;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Partidos_Politicos;Partidos_Politicos;Institutional;civil_registry_electoral_functions|vote|referendum|consultative_referendum_or_preliminary_consultation|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;15;2;true;Actor Partidos_Politicos is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Corte_Suprema;Corte_Suprema;Institutional;civil_registry_electoral_functions|vote|referendum|consultative_referendum_or_preliminary_consultation|citizen_initiative|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;48;2;true;Actor Corte_Suprema is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;civil_registry_electoral_functions|vote|referendum|consultative_referendum_or_preliminary_consultation|citizen_initiative|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;102;2;true;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-RAL;CRC-RAL;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;civil_registry_electoral_functions|vote|referendum|consultative_referendum_or_preliminary_consultation|citizen_initiative|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;257;2;true;Actor Asamblea_Legislativa is mandated by this instrument.;
